time:s,CH1:W,Average
0.01,0.456,0.3424
0.02,0.232,0.3416
0.03,0.456,0.3416
0.04,0.24,0.3192
0.05,0.448,0.34
0.06,0.224,0.3184
0.07,0.232,0.3416
0.08,0.456,0.3424
0.09,0.224,0.3416
0.1,0.456,0.3432
0.11,0.448,0.3432
0.12,0.232,0.3432
0.13,0.232,0.3408
0.14,0.448,0.3408
0.15,0.232,0.3416
0.16,0.456,0.3416
0.17,0.24,0.3416
0.18,0.448,0.3376
0.19,0.24,0.3384
0.2,0.456,0.3352
0.21,0.448,0.336
0.22,0.208,0.336
0.23,0.232,0.3384
0.24,0.456,0.3392
0.25,0.232,0.3392
0.26,0.456,0.34
0.27,0.2,0.34
0.28,0.456,0.3432
0.29,0.208,0.3432
0.3,0.464,0.3672
0.31,0.448,0.3448
0.32,0.232,0.3232
0.33,0.24,0.3456
0.34,0.456,0.3432
0.35,0.24,0.3432
0.36,0.456,0.3416
0.37,0.232,0.3416
0.38,0.456,0.3384
0.39,0.448,0.3424
0.4,0.24,0.3472
0.41,0.232,0.348
0.42,0.456,0.3488
0.43,0.216,0.3488
0.44,0.456,0.3512
0.45,0.224,0.3512
0.46,0.456,0.3496
0.47,0.2,0.3496
0.48,0.496,0.3752
0.49,0.496,0.3496
0.5,0.248,0.3456
0.51,0.24,0.3456
0.52,0.456,0.3464
0.53,0.24,0.3464
0.54,0.456,0.3672
0.55,0.208,0.3432
0.56,0.456,0.3456
0.57,0.456,0.3472
0.58,0.24,0.3464
0.59,0.456,0.3464
0.6,0.248,0.324
0.61,0.248,0.3448
0.62,0.456,0.3424
0.63,0.448,0.3424
0.64,0.216,0.3216
0.65,0.232,0.3456
0.66,0.472,0.3672
0.67,0.448,0.3432
0.68,0.24,0.344
0.69,0.232,0.3432
0.7,0.456,0.344
0.71,0.224,0.344
0.72,0.456,0.3456
0.73,0.24,0.3456
0.74,0.456,0.3448
0.75,0.448,0.3448
0.76,0.232,0.3224
0.77,0.456,0.3448
0.78,0.232,0.3232
0.79,0.24,0.3456
0.8,0.456,0.3464
0.81,0.24,0.3464
0.82,0.456,0.368
0.83,0.232,0.3464
0.84,0.456,0.348
0.85,0.224,0.348
0.86,0.456,0.3704
0.87,0.24,0.3456
0.88,0.456,0.3448
0.89,0.248,0.3448
0.9,0.456,0.3432
0.91,0.456,0.3544
0.92,0.24,0.364
0.93,0.248,0.3664
0.94,0.456,0.3936
0.95,0.448,0.372
0.96,0.208,0.3512
0.97,0.232,0.376
0.98,0.456,0.3776
0.99,0.232,0.3768
1,0.568,0.4008
1.01,0.552,0.3688
1.02,0.264,0.3376
1.03,0.52,0.3568
1.04,0.24,0.3504
1.05,0.24,0.3504
1.06,0.456,0.3496
1.07,0.248,0.3528
1.08,0.448,0.3512
1.09,0.472,0.3632
1.1,0.248,0.3808
1.11,0.24,0.3856
1.12,0.456,0.3872
1.13,0.456,0.396
1.14,0.24,0.3776
