X,CH1:W,Start,Increment,Average
0,0.24,,0.01,0.352
1,0.496,,0.02,0.3736
2,0.248,,0.03,0.3488
3,0.448,,0.04,0.348
4,0.248,,0.05,0.3488
5,0.456,,0.06,0.348
6,0.448,,0.07,0.348
7,0.24,,0.08,0.3272
8,0.24,,0.09,0.3488
9,0.456,,0.1,0.3704
10,0.456,,0.11,0.3488
11,0.248,,0.12,0.328
12,0.24,,0.13,0.3488
13,0.456,,0.14,0.3504
14,0.24,,0.15,0.3504
15,0.456,,0.16,0.3512
16,0.24,,0.17,0.3512
17,0.456,,0.18,0.348
18,0.456,,0.19,0.348
19,0.24,,0.2,0.3264
20,0.248,,0.21,0.348
21,0.456,,0.22,0.3472
22,0.256,,0.23,0.3472
23,0.456,,0.24,0.3456
24,0.248,,0.25,0.3456
25,0.456,,0.26,0.3664
26,0.208,,0.27,0.3448
27,0.456,,0.28,0.3696
28,0.24,,0.29,0.3488
29,0.456,,0.3,0.3488
30,0.24,,0.31,0.3488
31,0.456,,0.32,0.3496
32,0.24,,0.33,0.3496
33,0.456,,0.34,0.3496
34,0.456,,0.35,0.3496
35,0.24,,0.36,0.3264
36,0.456,,0.37,0.348
37,0.248,,0.38,0.3264
38,0.24,,0.39,0.3472
39,0.456,,0.4,0.348
40,0.248,,0.41,0.348
41,0.456,,0.42,0.3472
42,0.24,,0.43,0.3472
43,0.456,,0.44,0.3688
44,0.224,,0.45,0.3432
45,0.456,,0.46,0.3664
46,0.24,,0.47,0.3448
47,0.456,,0.48,0.3448
48,0.248,,0.49,0.3448
49,0.456,,0.5,0.344
50,0.24,,0.51,0.344
51,0.456,,0.52,0.344
52,0.456,,0.53,0.3544
53,0.2,,0.54,0.332
54,0.456,,0.55,0.3664
55,0.24,,0.56,0.3728
56,0.24,,0.57,0.3744
57,0.456,,0.58,0.3752
58,0.24,,0.59,0.3776
59,0.456,,0.6,0.3992
60,0.24,,0.61,0.3784
61,0.56,,0.62,0.4
62,0.232,,0.63,0.3688
63,0.544,,0.64,0.3912
64,0.52,,0.65,0.3624
65,0.256,,0.66,0.3344
66,0.248,,0.67,0.3544
67,0.48,,0.68,0.3552
68,0.456,,0.69,0.3528
69,0.248,,0.7,0.3312
70,0.456,,0.71,0.3616
71,0.248,,0.72,0.3736
72,0.456,,0.73,0.3792
73,0.256,,0.74,0.3608
74,0.24,,0.75,0.388
75,0.456,,0.76,0.4216
76,0.256,,0.77,0.4056
77,0.456,,0.78,0.4072
78,0.24,,0.79,0.4328
79,0.552,,0.8,0.484
80,0.576,,0.81,0.46
81,0.304,,0.82,0.4336
82,0.272,,0.83,0.4608
83,0.528,,0.84,0.4904
84,0.576,,0.85,0.468
85,0.296,,0.86,0.4408
86,0.272,,0.87,0.464
87,0.712,,0.88,0.4664
88,0.752,,0.89,0.4536
89,0.312,,0.9,0.4112
90,0.312,,0.91,0.452
91,0.576,,0.92,0.496
92,0.568,,0.93,0.4688
93,0.304,,0.94,0.4808
94,0.304,,0.95,0.4832
95,0.528,,0.96,0.4808
96,0.296,,0.97,0.4968
97,0.584,,0.98,0.5352
98,0.328,,0.99,0.5056
99,0.72,,1,0.504
100,0.752,,1.01,0.5
101,0.304,,1.02,0.4912
102,0.688,,1.03,0.4896
103,0.328,,1.04,0.4904
104,0.28,,1.05,0.4888
105,0.688,,1.06,0.4896
106,0.68,,1.07,0.4888
107,0.288,,1.08,0.4872
108,0.312,,1.09,0.4888
109,0.68,,1.1,0.4896
110,0.664,,1.11,0.476
111,0.288,,1.12,0.4688
112,0.696,,1.13,0.4696
113,0.312,,1.14,0.4288
114,0.288,,1.15,0.4512
115,0.68,,1.16,0.4504
116,0.664,,1.17,0.436
117,0.304,,1.18,0.4032
118,0.32,,1.19,0.4424
119,0.544,,1.2,0.4472
120,0.592,,1.21,0.4624
121,0.296,,1.22,0.4712
122,0.288,,1.23,0.4752
123,0.536,,1.24,0.5208
124,0.28,,1.25,0.504
125,0.536,,1.26,0.5136
126,0.336,,1.27,0.5336
127,0.696,,1.28,0.54
