X,CH1,Start,Increment,Average
Sequence,W,-29.45,0.05,
0,0.232,,0.05,0.3432
1,0.448,,0.1,0.3648
2,0.224,,0.15,0.344
3,0.464,,0.2,0.3664
4,0.448,,0.25,0.3432
5,0.24,,0.3,0.3224
6,0.24,,0.35,0.344
7,0.456,,0.4,0.3432
8,0.448,,0.45,0.3424
9,0.232,,0.5,0.3424
10,0.448,,0.55,0.3432
11,0.24,,0.6,0.344
12,0.448,,0.65,0.3432
13,0.232,,0.7,0.3224
14,0.24,,0.75,0.3496
15,0.456,,0.8,0.3504
16,0.232,,0.85,0.3504
17,0.448,,0.9,0.372
18,0.448,,0.95,0.3504
19,0.24,,1,0.3512
20,0.456,,1.05,0.352
21,0.232,,1.1,0.3296
22,0.24,,1.15,0.3544
23,0.504,,1.2,0.3536
24,0.248,,1.25,0.348
25,0.456,,1.3,0.368
26,0.448,,1.35,0.3448
27,0.232,,1.4,0.3456
28,0.456,,1.45,0.3456
29,0.248,,1.5,0.3456
30,0.232,,1.55,0.344
31,0.48,,1.6,0.3448
32,0.232,,1.65,0.3424
33,0.448,,1.7,0.3424
34,0.448,,1.75,0.3424
35,0.224,,1.8,0.3432
36,0.456,,1.85,0.344
37,0.232,,1.9,0.3216
38,0.456,,1.95,0.344
39,0.232,,2,0.3448
40,0.24,,2.05,0.3456
41,0.456,,2.1,0.3456
42,0.232,,2.15,0.3448
43,0.448,,2.2,0.376
44,0.456,,2.25,0.3552
45,0.232,,2.3,0.3544
46,0.232,,2.35,0.3552
47,0.456,,2.4,0.3776
48,0.464,,2.45,0.352
49,0.24,,2.5,0.3504
50,0.24,,2.55,0.3464
51,0.448,,2.6,0.3672
52,0.544,,2.65,0.3464
53,0.24,,2.7,0.3472
54,0.448,,2.75,0.3472
55,0.24,,2.8,0.3256
56,0.456,,2.85,0.348
57,0.2,,2.9,0.3312
58,0.448,,2.95,0.384
59,0.2,,3,0.3968
60,0.448,,3.05,0.4064
61,0.24,,3.1,0.4328
62,0.552,,3.15,0.4352
63,0.24,,3.2,0.448
64,0.232,,3.25,0.4504
65,0.464,,3.3,0.4544
66,0.288,,3.35,0.4768
67,0.728,,3.4,0.48
68,0.576,,3.45,0.48
69,0.296,,3.5,0.496
70,0.712,,3.55,0.4952
71,0.264,,3.6,0.48
72,0.68,,3.65,0.4792
73,0.264,,3.7,0.4336
74,0.272,,3.75,0.468
